Domain, V1, V2, V3, V34, V4, V5, Ishort, BRK_STAT, Ibrk
0.00188,175.00385253,172.566155767,91.6844567291,0.0,91.6844567291,54.8647061111,0.73639501236,0.0,0.811316889746
0.00189,174.436977197,171.99242468,92.9065277311,0.0,92.9065277311,55.8100901226,0.741928752172,0.0,0.813655395026
0.0019,173.867622728,171.41636615,94.0741796363,0.0,94.0741796363,56.6964756133,0.747554080459,0.0,0.815945666218
0.00191,173.295797216,170.837983708,95.1851437003,0.0,95.1851437003,57.5218937539,0.753264998927,0.0,0.818189100851
0.00192,172.721508786,170.257280728,96.2372765188,0.0,96.2372765188,58.2845105616,0.759055319143,0.0,0.820387155434
0.00193,172.144765602,169.674260442,97.2285640371,0.0,97.2285640371,58.982630228,0.764918676182,0.0,0.822541342092
0.00194,171.565575859,169.08892595,98.1571252739,0.0,98.1571252739,59.6146981439,0.770848542601,0.0,0.824653225107
0.00195,170.98394779,168.501280229,99.0212157504,0.0,99.0212157504,60.1793036159,0.776838242689,0.0,0.826724417359
0.00196,170.399889661,167.91132615,99.8192306201,0.0,99.8192306201,60.6751822709,0.782880966983,0.0,0.82875657668
0.00197,169.813409771,167.319066484,100.549707494,0.0,100.549707494,61.1012181434,0.788969787004,0.0,0.83075140213
0.00198,169.224516458,166.724503919,101.211328953,0.0,101.211328953,61.456445444,0.795097670183,0.0,0.8327106302
0.00199,168.633218089,166.12764107,101.802924753,0.0,101.802924753,61.7400500055,0.801257494956,0.0,0.834636030952
0.002,168.039523069,165.52848049,102.323473704,0.0,102.323473704,61.9513704055,0.807442065976,0.0,0.836529404104
0.00201,167.443439836,164.927024688,102.772105236,0.0,102.772105236,62.0898987639,0.813644129435,0.0,0.838392575068
0.00202,166.844976861,164.323276138,103.148100637,0.0,103.148100637,62.1552812152,0.819856388434,0.0,0.840227390953
0.00203,166.244142649,163.717237289,103.450893976,0.0,103.450893976,62.1473180558,0.826071518397,0.0,0.842035716533
0.00204,165.64094574,163.108910587,103.680072691,0.0,103.680072691,62.0659635672,0.832282182478,0.0,0.8438194302
0.00205,165.035394706,162.498298478,103.835377864,0.0,103.835377864,61.9113255169,0.838481046933,0.0,0.8455804199
0.00206,164.427498154,161.885403428,103.91670416,0.0,103.91670416,61.6836643391,0.844660796425,0.0,0.847320579071
0.00207,163.817264724,161.270227934,103.92409946,0.0,103.92409946,61.383391998,0.850814149242,0.0,0.849041802575
0.00208,163.204703087,160.652774534,103.857764157,0.0,103.857764157,61.0110705385,0.856933872369,0.0,0.850745982657
0.00209,162.589821951,160.033045826,103.718050147,0.0,103.718050147,60.5674103263,0.863012796412,0.0,0.852435004916
0.0021,161.972630053,159.411044475,103.505459501,0.0,103.505459501,60.0532679846,0.869043830328,0.0,0.85411074431
0.00211,161.353136166,158.786773228,103.220642828,0.0,103.220642828,59.4696440316,0.875019975929,0.0,0.855775061199
0.00212,160.731349093,158.160234928,102.864397333,0.0,102.864397333,58.8176802256,0.880934342141,0.0,0.857429797431
0.00213,160.107277672,157.531432524,102.437664573,0.0,102.437664573,58.0986566235,0.886780158984,0.0,0.859076772493
0.00214,159.480930773,156.900369084,101.941527923,0.0,101.941527923,57.3139883609,0.892550791233,0.0,0.860717779707
0.00215,158.852317296,156.267047807,101.377209749,0.0,101.377209749,56.4652221615,0.898239751759,0.0,0.862354582515
0.00216,158.221446176,155.631472034,100.746068309,0.0,100.746068309,55.5540325837,0.903840714497,0.0,0.863988910828
0.00217,157.588326379,154.99364526,100.049594365,0.0,100.049594365,54.5822180137,0.909347527026,0.0,0.865622457469
0.00218,156.952966904,154.353571147,99.2894075516,0.0,99.2894075516,53.5516964142,0.914754222748,0.0,0.867256874698
0.00219,156.315376779,153.71125353,98.4672524698,0.0,98.4672524698,52.4645008393,0.92005503261,0.0,0.86889377085
0.0022,155.675565067,153.06669643,97.5849945442,0.0,97.5849945442,51.3227747247,0.925244396389,0.0,0.870534707066
0.00221,155.03354086,152.419904067,96.6446156387,0.0,96.6446156387,50.128766965,0.930316973473,0.0,0.872181194142
0.00222,154.389313284,151.770880863,95.6482094471,0.0,95.6482094471,48.884826789,0.935267653161,0.0,0.873834689498
0.00223,153.742891493,151.119631459,94.5979766653,0.0,94.5979766653,47.5933984441,0.940091564423,0.0,0.875496594266
0.00224,153.094284676,150.466160716,93.4962199588,0.0,93.4962199588,46.2570157023,0.94478408513,0.0,0.877168250515
0.00225,152.443502051,149.81047373,92.345338736,0.0,92.345338736,44.8782961998,0.949340850725,0.0,0.878850938603
0.00226,151.790552865,149.152575836,91.147823738,0.0,91.147823738,43.4599356222,0.953757762316,0.0,0.880545874677
0.00227,151.1354464,148.492472614,89.9062514588,0.0,89.9062514588,42.0047017495,0.958030994185,0.0,0.882254208314
0.00228,150.478191966,147.830169904,88.6232784067,0.0,88.6232784067,40.5154283721,0.962157000691,0.0,0.883977020308
0.00229,149.818798903,147.165673801,87.3016352206,0.0,87.3016352206,38.9950090924,0.966132522564,0.0,0.88571532062
0.0023,149.157276584,146.498990672,85.9441206536,0.0,85.9441206536,37.4463910252,0.96995459257,0.0,0.887470046479
