Domain, V1, V2, V3, V34, V4, Ishort, BRK_STAT, Ibrk
0.00176,181.610086981,179.307553008,87.5534516335,0.0,87.5534516335,0.674510855991,0.0,0.766833648944
0.00177,181.073579495,178.76323288,88.2223520185,0.0,88.2223520185,0.685492741094,0.0,0.769455412685
0.00178,180.534498553,178.216442237,88.8643000725,0.0,88.8643000725,0.696499812892,0.0,0.772061667967
0.00179,179.992851816,177.667186117,89.4670569261,0.0,89.4670569261,0.707231936991,0.0,0.774640156434
0.0018,179.448646982,177.115468962,90.0281214816,0.0,90.0281214816,0.717663830481,0.0,0.777185620392
0.00181,178.901891785,176.561295208,90.5489615998,0.0,90.5489615998,0.727824585454,0.0,0.779697564706
0.00182,178.352593997,176.004669444,91.0308911341,0.0,91.0308911341,0.737712925932,0.0,0.782178952888
0.00183,177.800761423,175.445596384,91.4746822135,0.0,91.4746822135,0.747335725788,0.0,0.784629995964
0.00184,177.246401908,174.884080856,91.881378873,0.0,91.881378873,0.756698395932,0.0,0.787051974709
0.00185,176.689523328,174.320127808,92.2519064903,0.0,92.2519064903,0.765806213989,0.0,0.789445827469
0.00186,176.130133599,173.753742304,92.5871990223,0.0,92.5871990223,0.77466452625,0.0,0.791812526135
0.00187,175.568240672,173.18492952,92.8881693529,0.0,92.8881693529,0.783278500602,0.0,0.794153015701
0.00188,175.00385253,172.613694747,93.1557131537,0.0,93.1557131537,0.791653255427,0.0,0.796468208412
0.00189,174.436977197,172.040043386,93.3907103392,0.0,93.3907103392,0.799793808622,0.0,0.798758995452
0.0019,173.867622728,171.463980948,93.5940241486,0.0,93.5940241486,0.807705097933,0.0,0.801026240942
0.00191,173.295797216,170.885513051,93.7665020092,0.0,93.7665020092,0.815391975652,0.0,0.803270785316
0.00192,172.721508786,170.304645421,93.90897552,0.0,93.90897552,0.822859211939,0.0,0.805493444624
0.00193,172.144765602,169.721383888,94.0222607963,0.0,94.0222607963,0.830111495339,0.0,0.807695011413
0.00194,171.565575859,169.135734387,94.1071586728,0.0,94.1071586728,0.837153434163,0.0,0.809876255021
0.00195,170.98394779,168.547702954,94.1644549525,0.0,94.1644549525,0.843989557572,0.0,0.812037922071
0.00196,170.399889661,167.957295726,94.1949206357,0.0,94.1949206357,0.850624316745,0.0,0.814180736883
0.00197,169.813409771,167.36451894,94.1993121514,0.0,94.1993121514,0.857062085991,0.0,0.816305401906
0.00198,169.224516458,166.769378932,94.1783715835,0.0,94.1783715835,0.863307163867,0.0,0.818412598136
0.00199,168.633218089,166.171882132,94.1328268943,0.0,94.1328268943,0.869363774272,0.0,0.82050298553
0.002,168.039523069,165.572035068,94.0633921454,0.0,94.0633921454,0.875236067528,0.0,0.822577203409
0.00201,167.443439836,164.969844361,93.9707677146,0.0,93.9707677146,0.880928121449,0.0,0.824635870861
0.00202,166.844976861,164.365316725,93.8556405105,0.0,93.8556405105,0.886443942397,0.0,0.826679587133
0.00203,166.244142649,163.758458965,93.7186841838,0.0,93.7186841838,0.89178746632,0.0,0.828708932019
0.00204,165.64094574,163.149277973,93.5604554755,0.0,93.5604554755,0.89696250933,0.0,0.830724675443
0.00205,165.035394706,162.537780647,93.3797746848,0.0,93.3797746848,0.901972090682,0.0,0.83273062798
0.00206,164.427498154,161.923973305,93.1635397973,0.0,93.1635397973,0.906815064382,0.0,0.834748144607
0.00207,163.817264724,161.30785931,92.8551175163,0.0,92.8551175163,0.911479742101,0.0,0.836845454406
0.00208,163.204703087,160.689433562,92.3129168012,0.0,92.3129168012,0.915947335696,0.0,0.839130593387
0.00209,162.589821951,160.068676237,91.3341107851,0.0,91.3341107851,0.920221960562,0.0,0.841632098448
0.0021,161.972630053,159.445553701,89.7985733518,0.0,89.7985733518,0.924356041747,0.0,0.844179665193
0.00211,161.353136166,158.820031345,87.8027463749,0.0,87.8027463749,0.928410281059,0.0,0.846539046266
0.00212,160.731349093,158.192089259,85.5923988788,0.0,85.5923988788,0.932389334256,0.0,0.848669866813
0.00213,160.107277672,157.56172693,83.3735462371,0.0,83.3735462371,0.936254232939,0.0,0.85070469722
0.00214,159.480930773,156.928956383,81.2320443117,0.0,81.2320443117,0.939976281135,0.0,0.852753350578
0.00215,158.852317296,156.293793866,79.1797593431,0.0,79.1797593431,0.943549169337,0.0,0.85485049244
0.00216,158.221446176,155.656255908,77.2107422181,0.0,77.2107422181,0.946977360643,0.0,0.856992107674
0.00217,157.588326379,155.016358704,75.3223517006,0.0,75.3223517006,0.950266086457,0.0,0.859170654495
0.00218,156.952966904,154.374118298,73.5130962756,0.0,73.5130962756,0.953418398016,0.0,0.861386616771
0.00219,156.315376779,153.729550603,71.7805998158,0.0,71.7805998158,0.956438295294,0.0,0.863636636591
0.0022,155.675565067,153.082671374,70.1229045803,0.0,70.1229045803,0.95932936671,0.0,0.865918709899
0.00221,155.03354086,152.433496227,68.5379815304,0.0,68.5379815304,0.962095205143,0.0,0.868230577921
0.00222,154.389313284,151.782040636,67.0238653886,0.0,67.0238653886,0.964739320364,0.0,0.870570081389
0.00223,153.742891493,151.128319937,65.578628063,0.0,65.578628063,0.967265146527,0.0,0.872935128247
0.00224,153.094284676,150.472349334,64.2003784893,0.0,64.2003784893,0.969676049723,0.0,0.875323670597
0.00225,152.443502051,149.8141439,62.8872646392,0.0,62.8872646392,0.971975324368,0.0,0.877733721268
0.00226,151.790552865,149.153718581,61.6374711433,0.0,61.6374711433,0.974166196704,0.0,0.880163343843
0.00227,151.1354464,148.491088197,60.4492194904,0.0,60.4492194904,0.976251824959,0.0,0.882610655338
0.00228,150.478191966,147.826267446,59.3207670787,0.0,59.3207670787,0.978235300841,0.0,0.88507382372
0.00229,149.818798903,147.159270911,58.2504067373,0.0,58.2504067373,0.980119650505,0.0,0.887551067391
0.0023,149.157276584,146.490113056,57.2364660865,0.0,57.2364660865,0.981907835696,0.0,0.890040653992
0.00231,148.49363441,145.818808232,56.2773069664,0.0,56.2773069664,0.983602754796,0.0,0.892540899464
0.00232,147.827881812,145.145370683,55.3713248541,0.0,55.3713248541,0.985207243896,0.0,0.895050167052
0.00233,147.160028253,144.469814542,54.5169482965,0.0,54.5169482965,0.98672407783,0.0,0.897566866343
0.00234,146.490083224,143.792153839,53.7126383488,0.0,53.7126383488,0.988155971208,0.0,0.900089452315
0.00235,145.818056247,143.112402504,52.9568880232,0.0,52.9568880232,0.989505579421,0.0,0.902616424409
0.00236,145.143956873,142.430574364,52.2482217443,0.0,52.2482217443,0.990775499645,0.0,0.905146325609
0.00237,144.467794681,141.746683151,51.5851948139,0.0,51.5851948139,0.99196827182,0.0,0.907677741542
0.00238,143.789579283,141.060742502,50.9663954468,0.0,50.9663954468,0.993086327515,0.0,0.91020929443
0.00239,143.109320316,140.372765966,50.3904831917,0.0,50.3904831917,0.994130953616,0.0,0.912739573964
0.0024,142.427027449,139.682767014,49.856415577,0.0,49.856415577,0.995093578945,0.0,0.915266823207
0.00241,141.742710379,138.990759097,49.364002006,0.0,49.364002006,0.995916421323,0.0,0.917788576487
0.00242,141.056378831,138.296755706,48.9138478322,0.0,48.9138478322,0.996395013865,0.0,0.920303201176
0.00243,140.36804256,137.60077031,48.5040901083,0.0,48.5040901083,0.996078784729,0.0,0.922814772916
0.00244,139.677711348,136.902815883,48.1244864184,0.0,48.1244864184,0.994378331085,0.0,0.925333673076
0.00245,138.985395007,136.202904229,47.7572823335,0.0,47.7572823335,0.990987445308,0.0,0.927862816006
0.00246,138.291103376,135.501045931,47.3911037343,0.0,47.3911037343,0.986238055124,0.0,0.930385615183
0.00247,137.594846321,134.797251398,47.0326890114,0.0,47.0326890114,0.980886435757,0.0,0.932882003521
0.00248,136.89663374,134.09153209,46.6991432469,0.0,46.6991432469,0.975561229759,0.0,0.935350612349
0.00249,136.196475554,133.383900739,46.4024150455,0.0,46.4024150455,0.970524430593,0.0,0.937801665905
0.0025,135.494381715,132.674370736,46.1453740339,0.0,46.1453740339,0.965811713679,0.0,0.940241014497
0.00251,134.790362201,131.962955565,45.9266200892,0.0,45.9266200892,0.961403110393,0.0,0.94266903198
0.00252,134.084427018,131.249668594,45.7443008016,0.0,45.7443008016,0.957287273681,0.0,0.945083959975
0.00253,133.376586198,130.53452308,45.5970238449,0.0,45.5970238449,0.953457523823,0.0,0.947484441179
0.00254,132.666849801,129.817532185,45.4834100582,0.0,45.4834100582,0.949904108499,0.0,0.949869697754
0.00255,131.955227915,129.09870898,45.402046457,0.0,45.402046457,0.946618736814,0.0,0.952238546609
0.00256,131.241730653,128.378066441,45.3516014929,0.0,45.3516014929,0.943592934932,0.0,0.954590059225
0.00257,130.526368156,127.655617458,45.3307563239,0.0,45.3307563239,0.940818481797,0.0,0.956923267784
0.00258,129.80915059,126.931374835,45.3382319276,0.0,45.3382319276,0.938287329066,0.0,0.959237265252
0.00259,129.090088148,126.205351291,45.3727795216,0.0,45.3727795216,0.935991595236,0.0,0.961531176928
0.0026,128.369191051,125.477559468,45.4331821897,0.0,45.4331821897,0.93392357321,0.0,0.963804164586
0.00261,127.646469543,124.748011925,45.518253921,0.0,45.518253921,0.932075720837,0.0,0.96605542572
0.00262,126.921933897,124.016721151,45.6268389531,0.0,45.6268389531,0.930440660929,0.0,0.96828419192
